,type3,project_num,tasks,task_num,detail1,detail1_num,detail2,detail2_num,detail3,value,,,,,
54,workspaces,0,tasks,1,owners,0,username,,,lion917,,,,,
55,workspaces,0,tasks,1,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
56,workspaces,0,tasks,1,owners,0,threepids,0,source,discord,,,,,
57,workspaces,0,tasks,1,owners,0,threepids,0,threepid,1.31E+17,,,,,
58,workspaces,0,tasks,1,owners,0,threepids,1,source,metamask,,,,,
59,workspaces,0,tasks,1,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
60,workspaces,0,tasks,1,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
61,workspaces,0,tasks,1,assignees,0,username,,,lion917,,,,,
62,workspaces,0,tasks,1,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
63,workspaces,0,tasks,1,assignees,0,threepids,0,source,discord,,,,,
64,workspaces,0,tasks,1,assignees,0,threepids,0,threepid,1.31E+17,,,,,
65,workspaces,0,tasks,1,assignees,0,threepids,1,source,metamask,,,,,
66,workspaces,0,tasks,1,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
67,workspaces,0,tasks,2,id,,,,,bbeb6e5d-26fd-40a0-b470-0e3df9caf72d,,,,,
68,workspaces,0,tasks,2,name,,,,,Discord Office Hours 2,,,,,
69,workspaces,0,tasks,2,status,,,,,DONE,,,,,
70,workspaces,0,tasks,2,priority,,,,,NONE,,,,,
71,workspaces,0,tasks,2,tags,0,label,,,Ops,,,,,
72,workspaces,0,tasks,2,tags,1,label,,,discord,,,,,
73,workspaces,0,tasks,2,createdAt,,,,,2022-08-07T23:21:08.581Z,,,,,
74,workspaces,0,tasks,2,updatedAt,,,,,2022-08-07T23:21:29.811Z,,,,,
75,workspaces,0,tasks,2,doneAt,,,,,2022-08-07T23:21:08.514Z,,,,,
76,workspaces,0,tasks,2,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
77,workspaces,0,tasks,2,owners,0,username,,,lion917,,,,,
78,workspaces,0,tasks,2,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
79,workspaces,0,tasks,2,owners,0,threepids,0,source,discord,,,,,
